State,Year,State_Year,Gender,Leading_Cancer_Sites,Incidence_Counts,Incidence_Age_Adjusted_Rate,Death_Counts,Mortality_Age_Adjusted_Rate,Mortality_Incidence_Age_Adjusted_Rate_Ratio,Population,%_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,%_Low_birthweight,%_Adult_smoking,%_Adults_with_Obesity,%_Physically_Inactive,%_Excessive_Drinking,%_Uninsured,Primary_Care_Physicians_Rate,Mental_Health_Provider_Rate,%_With_Annual_Mammogram,%_Unemployed,%_Children_in_Poverty,Average_Daily_PM2.5,%_Severe_Housing_Problems,%_Adults_with_Diabetes,Median_Household_Income,%_Less_Than_18_Years_of_Age,%_65_and_Over,%_Black,%_American_Indian_&_Alaska_Native,%_Asian,%_Native_Hawaiian/Other_Pacific_Islander,%_Hispanic,%_Non_Hispanic_White,%_Female,%_Rural,Region
South Carolina,2015,South Carolina2015,Male,Lung and Bronchus,2300,82.53,1632,59.8,0.72,2377801,20.02,4.2,4.13,10.73,20.44,34.9,28.15,14.48,19.01,50.43,97.07,65.3,7.59,31.97,12.58,15.67,13.56,40297,22.01,17.07,35.64,0.63,0.94,0.09,4.46,57.17,50.93,54.98,South
South Carolina,2015,South Carolina2015,Male,Pancreas,423,15.41,349,13.1,0.85,2377801,20.02,4.2,4.13,10.73,20.44,34.9,28.15,14.48,19.01,50.43,97.07,65.3,7.59,31.97,12.58,15.67,13.56,40297,22.01,17.07,35.64,0.63,0.94,0.09,4.46,57.17,50.93,54.98,South
South Carolina,2016,South Carolina2016,Female,Colon and Rectum,1103,33.79,388,11.44,0.34,2553825,19.1,4.27,4.34,10.62,19.21,35.14,27.77,14.92,16.79,50.26,104.41,66.03,7.04,30.4,9.71,15.73,14.37,41436,21.87,17.67,35.51,0.64,0.98,0.09,4.53,57.13,51.01,54.98,South
South Carolina,2016,South Carolina2016,Female,Lung and Bronchus,1776,50.29,1126,32.16,0.64,2553825,19.1,4.27,4.34,10.62,19.21,35.14,27.77,14.92,16.79,50.26,104.41,66.03,7.04,30.4,9.71,15.73,14.37,41436,21.87,17.67,35.51,0.64,0.98,0.09,4.53,57.13,51.01,54.98,South
South Carolina,2016,South Carolina2016,Female,Pancreas,440,12.94,360,10.33,0.8,2553825,19.1,4.27,4.34,10.62,19.21,35.14,27.77,14.92,16.79,50.26,104.41,66.03,7.04,30.4,9.71,15.73,14.37,41436,21.87,17.67,35.51,0.64,0.98,0.09,4.53,57.13,51.01,54.98,South
South Carolina,2016,South Carolina2016,Male,Colon and Rectum,1240,44.34,477,17.69,0.4,2409206,19.1,4.27,4.34,10.62,19.21,35.14,27.77,14.92,16.79,50.26,104.41,66.03,7.04,30.4,9.71,15.73,14.37,41436,21.87,17.67,35.51,0.64,0.98,0.09,4.53,57.13,51.01,54.98,South
South Carolina,2016,South Carolina2016,Male,Lung and Bronchus,2189,75.32,1578,56.03,0.74,2409206,19.1,4.27,4.34,10.62,19.21,35.14,27.77,14.92,16.79,50.26,104.41,66.03,7.04,30.4,9.71,15.73,14.37,41436,21.87,17.67,35.51,0.64,0.98,0.09,4.53,57.13,51.01,54.98,South
South Carolina,2016,South Carolina2016,Male,Pancreas,460,16.29,381,13.7,0.84,2409206,19.1,4.27,4.34,10.62,19.21,35.14,27.77,14.92,16.79,50.26,104.41,66.03,7.04,30.4,9.71,15.73,14.37,41436,21.87,17.67,35.51,0.64,0.98,0.09,4.53,57.13,51.01,54.98,South
South Carolina,2017,South Carolina2017,Female,Colon and Rectum,1058,31.29,377,10.77,0.34,2588374,20.28,4.35,4.54,10.53,18.61,35.02,28.18,16.37,13.5,50.31,111.16,66.03,5.68,29.36,9.71,15.46,14.55,43352,21.7,18.27,35.45,0.66,0.99,0.09,4.58,57.09,51.09,54.98,South
South Carolina,2017,South Carolina2017,Female,Lung and Bronchus,1880,51.7,1144,31.79,0.61,2588374,20.28,4.35,4.54,10.53,18.61,35.02,28.18,16.37,13.5,50.31,111.16,66.03,5.68,29.36,9.71,15.46,14.55,43352,21.7,18.27,35.45,0.66,0.99,0.09,4.58,57.09,51.09,54.98,South
South Carolina,2017,South Carolina2017,Female,Pancreas,418,12.01,370,10.53,0.88,2588374,20.28,4.35,4.54,10.53,18.61,35.02,28.18,16.37,13.5,50.31,111.16,66.03,5.68,29.36,9.71,15.46,14.55,43352,21.7,18.27,35.45,0.66,0.99,0.09,4.58,57.09,51.09,54.98,South
South Carolina,2017,South Carolina2017,Male,Colon and Rectum,1149,39.96,488,17.06,0.43,2438728,20.28,4.35,4.54,10.53,18.61,35.02,28.18,16.37,13.5,50.31,111.16,66.03,5.68,29.36,9.71,15.46,14.55,43352,21.7,18.27,35.45,0.66,0.99,0.09,4.58,57.09,51.09,54.98,South
South Carolina,2017,South Carolina2017,Male,Lung and Bronchus,2320,76.66,1556,53.12,0.69,2438728,20.28,4.35,4.54,10.53,18.61,35.02,28.18,16.37,13.5,50.31,111.16,66.03,5.68,29.36,9.71,15.46,14.55,43352,21.7,18.27,35.45,0.66,0.99,0.09,4.58,57.09,51.09,54.98,South
South Carolina,2017,South Carolina2017,Male,Pancreas,480,16.05,398,13.39,0.83,2438728,20.28,4.35,4.54,10.53,18.61,35.02,28.18,16.37,13.5,50.31,111.16,66.03,5.68,29.36,9.71,15.46,14.55,43352,21.7,18.27,35.45,0.66,0.99,0.09,4.58,57.09,51.09,54.98,South
South Carolina,2018,South Carolina2018,Female,Colon and Rectum,1061,31.18,364,10.27,0.33,2623668,20.28,4.35,4.54,10.45,18.61,35.84,28.0,16.37,12.56,49.52,115.96,44.17,4.96,28.39,10.2,14.82,14.6,44505,21.49,18.85,35.39,0.66,1.04,0.1,4.71,56.94,51.14,54.98,South
South Carolina,2018,South Carolina2018,Female,Lung and Bronchus,1956,51.25,1158,30.78,0.6,2623668,20.28,4.35,4.54,10.45,18.61,35.84,28.0,16.37,12.56,49.52,115.96,44.17,4.96,28.39,10.2,14.82,14.6,44505,21.49,18.85,35.39,0.66,1.04,0.1,4.71,56.94,51.14,54.98,South
South Carolina,2018,South Carolina2018,Female,Pancreas,463,12.59,360,9.78,0.78,2623668,20.28,4.35,4.54,10.45,18.61,35.84,28.0,16.37,12.56,49.52,115.96,44.17,4.96,28.39,10.2,14.82,14.6,44505,21.49,18.85,35.39,0.66,1.04,0.1,4.71,56.94,51.14,54.98,South
South Carolina,2018,South Carolina2018,Male,Colon and Rectum,1244,42.61,464,16.3,0.38,2468034,20.28,4.35,4.54,10.45,18.61,35.84,28.0,16.37,12.56,49.52,115.96,44.17,4.96,28.39,10.2,14.82,14.6,44505,21.49,18.85,35.39,0.66,1.04,0.1,4.71,56.94,51.14,54.98,South
South Carolina,2018,South Carolina2018,Male,Lung and Bronchus,2216,71.02,1500,49.15,0.69,2468034,20.28,4.35,4.54,10.45,18.61,35.84,28.0,16.37,12.56,49.52,115.96,44.17,4.96,28.39,10.2,14.82,14.6,44505,21.49,18.85,35.39,0.66,1.04,0.1,4.71,56.94,51.14,54.98,South
South Carolina,2018,South Carolina2018,Male,Pancreas,477,15.65,401,13.31,0.85,2468034,20.28,4.35,4.54,10.45,18.61,35.84,28.0,16.37,12.56,49.52,115.96,44.17,4.96,28.39,10.2,14.82,14.6,44505,21.49,18.85,35.39,0.66,1.04,0.1,4.71,56.94,51.14,54.98,South
South Carolina,2019,South Carolina2019,Female,Colon and Rectum,1102,31.33,381,10.58,0.34,2659704,18.23,3.9,4.5,9.57,18.79,32.9,25.9,17.35,13.12,66.75,175.43,46.0,3.42,22.1,10.2,14.71,12.8,52449,21.75,17.7,26.62,0.54,1.77,0.1,5.82,63.7,51.55,33.67,South
South Carolina,2019,South Carolina2019,Female,Lung and Bronchus,1908,48.64,1141,29.37,0.6,2659704,18.23,3.9,4.5,9.57,18.79,32.9,25.9,17.35,13.12,66.75,175.43,46.0,3.42,22.1,10.2,14.71,12.8,52449,21.75,17.7,26.62,0.54,1.77,0.1,5.82,63.7,51.55,33.67,South
South Carolina,2019,South Carolina2019,Female,Pancreas,401,10.73,367,9.64,0.9,2659704,18.23,3.9,4.5,9.57,18.79,32.9,25.9,17.35,13.12,66.75,175.43,46.0,3.42,22.1,10.2,14.71,12.8,52449,21.75,17.7,26.62,0.54,1.77,0.1,5.82,63.7,51.55,33.67,South
South Carolina,2019,South Carolina2019,Male,Colon and Rectum,1274,42.45,497,16.5,0.39,2497998,18.23,3.9,4.5,9.57,18.79,32.9,25.9,17.35,13.12,66.75,175.43,46.0,3.42,22.1,10.2,14.71,12.8,52449,21.75,17.7,26.62,0.54,1.77,0.1,5.82,63.7,51.55,33.67,South
South Carolina,2019,South Carolina2019,Male,Lung and Bronchus,2262,69.85,1530,48.49,0.69,2497998,18.23,3.9,4.5,9.57,18.79,32.9,25.9,17.35,13.12,66.75,175.43,46.0,3.42,22.1,10.2,14.71,12.8,52449,21.75,17.7,26.62,0.54,1.77,0.1,5.82,63.7,51.55,33.67,South
South Carolina,2019,South Carolina2019,Male,Pancreas,487,15.2,408,12.89,0.85,2497998,18.23,3.9,4.5,9.57,18.79,32.9,25.9,17.35,13.12,66.75,175.43,46.0,3.42,22.1,10.2,14.71,12.8,52449,21.75,17.7,26.62,0.54,1.77,0.1,5.82,63.7,51.55,33.67,South
South Carolina,2020,South Carolina2020,Female,Colon and Rectum,984,27.19,389,10.51,0.39,2694628,17.82,4.01,4.72,9.61,18.66,34.0,26.0,17.84,12.7,66.95,183.04,47.0,2.85,19.9,8.95,14.53,13.3,56360,21.58,18.2,26.42,0.55,1.83,0.1,5.96,63.66,51.58,33.67,South
South Carolina,2020,South Carolina2020,Female,Lung and Bronchus,1773,44.0,1139,28.08,0.64,2694628,17.82,4.01,4.72,9.61,18.66,34.0,26.0,17.84,12.7,66.95,183.04,47.0,2.85,19.9,8.95,14.53,13.3,56360,21.58,18.2,26.42,0.55,1.83,0.1,5.96,63.66,51.58,33.67,South
South Carolina,2020,South Carolina2020,Female,Pancreas,437,11.14,350,8.71,0.78,2694628,17.82,4.01,4.72,9.61,18.66,34.0,26.0,17.84,12.7,66.95,183.04,47.0,2.85,19.9,8.95,14.53,13.3,56360,21.58,18.2,26.42,0.55,1.83,0.1,5.96,63.66,51.58,33.67,South
South Carolina,2020,South Carolina2020,Male,Colon and Rectum,1121,36.57,508,16.5,0.45,2523412,17.82,4.01,4.72,9.61,18.66,34.0,26.0,17.84,12.7,66.95,183.04,47.0,2.85,19.9,8.95,14.53,13.3,56360,21.58,18.2,26.42,0.55,1.83,0.1,5.96,63.66,51.58,33.67,South
South Carolina,2020,South Carolina2020,Male,Lung and Bronchus,2084,62.5,1553,47.48,0.76,2523412,17.82,4.01,4.72,9.61,18.66,34.0,26.0,17.84,12.7,66.95,183.04,47.0,2.85,19.9,8.95,14.53,13.3,56360,21.58,18.2,26.42,0.55,1.83,0.1,5.96,63.66,51.58,33.67,South
South Carolina,2020,South Carolina2020,Male,Pancreas,487,14.89,449,14.19,0.95,2523412,17.82,4.01,4.72,9.61,18.66,34.0,26.0,17.84,12.7,66.95,183.04,47.0,2.85,19.9,8.95,14.53,13.3,56360,21.58,18.2,26.42,0.55,1.83,0.1,5.96,63.66,51.58,33.67,South
South Dakota,2010,South Dakota2010,Female,Colon and Rectum,234,45.0,77,12.82,0.28,407748,12.91,2.83,2.49,6.88,19.86,29.92,28.69,19.01,19.04,52.79,28.22,71.85,5.06,22.11,0.15,22.39,8.96,40782,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2010,South Dakota2010,Female,Lung and Bronchus,262,51.19,172,33.16,0.65,407748,12.91,2.83,2.49,6.88,19.86,29.92,28.69,19.01,19.04,52.79,28.22,71.85,5.06,22.11,0.15,22.39,8.96,40782,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2010,South Dakota2010,Female,Pancreas,59,11.19,51,9.47,0.85,407748,12.91,2.83,2.49,6.88,19.86,29.92,28.69,19.01,19.04,52.79,28.22,71.85,5.06,22.11,0.15,22.39,8.96,40782,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2010,South Dakota2010,Male,Colon and Rectum,256,60.28,89,20.78,0.34,408445,12.91,2.83,2.49,6.88,19.86,29.92,28.69,19.01,19.04,52.79,28.22,71.85,5.06,22.11,0.15,22.39,8.96,40782,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2010,South Dakota2010,Male,Lung and Bronchus,321,75.51,261,62.08,0.82,408445,12.91,2.83,2.49,6.88,19.86,29.92,28.69,19.01,19.04,52.79,28.22,71.85,5.06,22.11,0.15,22.39,8.96,40782,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2010,South Dakota2010,Male,Pancreas,49,11.22,48,10.66,0.95,408445,12.91,2.83,2.49,6.88,19.86,29.92,28.69,19.01,19.04,52.79,28.22,71.85,5.06,22.11,0.15,22.39,8.96,40782,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2011,South Dakota2011,Female,Colon and Rectum,197,36.87,68,11.28,0.31,410308,12.77,2.79,2.48,6.93,19.13,32.3,30.09,19.03,17.61,72.58,12.0,70.0,5.0,23.52,0.15,20.98,9.55,41708,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2011,South Dakota2011,Female,Lung and Bronchus,274,54.08,224,42.66,0.79,410308,12.77,2.79,2.48,6.93,19.13,32.3,30.09,19.03,17.61,72.58,12.0,70.0,5.0,23.52,0.15,20.98,9.55,41708,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2011,South Dakota2011,Female,Pancreas,61,11.33,54,9.77,0.86,410308,12.77,2.79,2.48,6.93,19.13,32.3,30.09,19.03,17.61,72.58,12.0,70.0,5.0,23.52,0.15,20.98,9.55,41708,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2011,South Dakota2011,Male,Colon and Rectum,251,57.06,68,16.01,0.28,413432,12.77,2.79,2.48,6.93,19.13,32.3,30.09,19.03,17.61,72.58,12.0,70.0,5.0,23.52,0.15,20.98,9.55,41708,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2011,South Dakota2011,Male,Lung and Bronchus,283,64.87,233,53.76,0.83,413432,12.77,2.79,2.48,6.93,19.13,32.3,30.09,19.03,17.61,72.58,12.0,70.0,5.0,23.52,0.15,20.98,9.55,41708,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2011,South Dakota2011,Male,Pancreas,47,10.28,40,8.77,0.85,413432,12.77,2.79,2.48,6.93,19.13,32.3,30.09,19.03,17.61,72.58,12.0,70.0,5.0,23.52,0.15,20.98,9.55,41708,24.9,17.59,0.4,13.79,0.49,0.02,1.9,83.4,49.88,79.48,Midwest
South Dakota,2012,South Dakota2012,Female,Colon and Rectum,205,38.73,80,14.26,0.37,414663,12.52,2.78,2.45,6.62,18.83,32.27,30.03,19.36,16.77,60.71,29.44,68.09,5.1,22.7,8.83,21.13,9.53,44013,25.02,17.52,0.46,13.87,0.51,0.04,2.16,81.72,49.59,77.65,Midwest
South Dakota,2012,South Dakota2012,Female,Lung and Bronchus,247,47.82,183,34.79,0.73,414663,12.52,2.78,2.45,6.62,18.83,32.27,30.03,19.36,16.77,60.71,29.44,68.09,5.1,22.7,8.83,21.13,9.53,44013,25.02,17.52,0.46,13.87,0.51,0.04,2.16,81.72,49.59,77.65,Midwest
South Dakota,2012,South Dakota2012,Female,Pancreas,61,11.21,53,9.46,0.84,414663,12.52,2.78,2.45,6.62,18.83,32.27,30.03,19.36,16.77,60.71,29.44,68.09,5.1,22.7,8.83,21.13,9.53,44013,25.02,17.52,0.46,13.87,0.51,0.04,2.16,81.72,49.59,77.65,Midwest
South Dakota,2012,South Dakota2012,Male,Colon and Rectum,205,45.16,84,18.83,0.42,419196,12.52,2.78,2.45,6.62,18.83,32.27,30.03,19.36,16.77,60.71,29.44,68.09,5.1,22.7,8.83,21.13,9.53,44013,25.02,17.52,0.46,13.87,0.51,0.04,2.16,81.72,49.59,77.65,Midwest
South Dakota,2012,South Dakota2012,Male,Lung and Bronchus,325,72.04,252,56.01,0.78,419196,12.52,2.78,2.45,6.62,18.83,32.27,30.03,19.36,16.77,60.71,29.44,68.09,5.1,22.7,8.83,21.13,9.53,44013,25.02,17.52,0.46,13.87,0.51,0.04,2.16,81.72,49.59,77.65,Midwest
South Dakota,2012,South Dakota2012,Male,Pancreas,72,15.71,53,12.08,0.77,419196,12.52,2.78,2.45,6.62,18.83,32.27,30.03,19.36,16.77,60.71,29.44,68.09,5.1,22.7,8.83,21.13,9.53,44013,25.02,17.52,0.46,13.87,0.51,0.04,2.16,81.72,49.59,77.65,Midwest
South Dakota,2013,South Dakota2013,Female,Colon and Rectum,213,38.88,76,13.25,0.34,418793,12.22,2.79,2.56,6.67,18.81,32.39,29.83,19.27,15.74,59.34,107.29,65.65,4.93,21.3,11.08,12.27,10.13,45579,24.8,17.87,0.43,14.08,0.51,0.04,2.07,81.69,49.52,78.17,Midwest
South Dakota,2013,South Dakota2013,Female,Lung and Bronchus,298,57.37,178,32.9,0.57,418793,12.22,2.79,2.56,6.67,18.81,32.39,29.83,19.27,15.74,59.34,107.29,65.65,4.93,21.3,11.08,12.27,10.13,45579,24.8,17.87,0.43,14.08,0.51,0.04,2.07,81.69,49.52,78.17,Midwest
South Dakota,2013,South Dakota2013,Female,Pancreas,52,9.36,60,10.65,1.14,418793,12.22,2.79,2.56,6.67,18.81,32.39,29.83,19.27,15.74,59.34,107.29,65.65,4.93,21.3,11.08,12.27,10.13,45579,24.8,17.87,0.43,14.08,0.51,0.04,2.07,81.69,49.52,78.17,Midwest
South Dakota,2013,South Dakota2013,Male,Colon and Rectum,211,45.41,91,20.6,0.45,423958,12.22,2.79,2.56,6.67,18.81,32.39,29.83,19.27,15.74,59.34,107.29,65.65,4.93,21.3,11.08,12.27,10.13,45579,24.8,17.87,0.43,14.08,0.51,0.04,2.07,81.69,49.52,78.17,Midwest
South Dakota,2013,South Dakota2013,Male,Lung and Bronchus,326,71.35,237,52.43,0.73,423958,12.22,2.79,2.56,6.67,18.81,32.39,29.83,19.27,15.74,59.34,107.29,65.65,4.93,21.3,11.08,12.27,10.13,45579,24.8,17.87,0.43,14.08,0.51,0.04,2.07,81.69,49.52,78.17,Midwest
South Dakota,2013,South Dakota2013,Male,Pancreas,58,12.34,48,9.98,0.81,423958,12.22,2.79,2.56,6.67,18.81,32.39,29.83,19.27,15.74,59.34,107.29,65.65,4.93,21.3,11.08,12.27,10.13,45579,24.8,17.87,0.43,14.08,0.51,0.04,2.07,81.69,49.52,78.17,Midwest
South Dakota,2014,South Dakota2014,Female,Colon and Rectum,206,38.76,78,13.47,0.35,421923,12.22,2.79,2.56,6.42,18.81,31.73,27.82,19.27,15.57,60.62,124.25,65.6,4.38,21.51,11.08,12.37,10.1,46219,24.84,18.05,0.72,14.04,0.6,0.05,2.63,80.77,49.42,78.17,Midwest
South Dakota,2014,South Dakota2014,Female,Lung and Bronchus,263,49.6,187,34.34,0.69,421923,12.22,2.79,2.56,6.42,18.81,31.73,27.82,19.27,15.57,60.62,124.25,65.6,4.38,21.51,11.08,12.37,10.1,46219,24.84,18.05,0.72,14.04,0.6,0.05,2.63,80.77,49.42,78.17,Midwest
South Dakota,2014,South Dakota2014,Female,Pancreas,59,10.94,42,6.87,0.63,421923,12.22,2.79,2.56,6.42,18.81,31.73,27.82,19.27,15.57,60.62,124.25,65.6,4.38,21.51,11.08,12.37,10.1,46219,24.84,18.05,0.72,14.04,0.6,0.05,2.63,80.77,49.42,78.17,Midwest
South Dakota,2014,South Dakota2014,Male,Colon and Rectum,253,54.65,109,23.46,0.43,427747,12.22,2.79,2.56,6.42,18.81,31.73,27.82,19.27,15.57,60.62,124.25,65.6,4.38,21.51,11.08,12.37,10.1,46219,24.84,18.05,0.72,14.04,0.6,0.05,2.63,80.77,49.42,78.17,Midwest
South Dakota,2014,South Dakota2014,Male,Lung and Bronchus,338,72.31,259,55.63,0.77,427747,12.22,2.79,2.56,6.42,18.81,31.73,27.82,19.27,15.57,60.62,124.25,65.6,4.38,21.51,11.08,12.37,10.1,46219,24.84,18.05,0.72,14.04,0.6,0.05,2.63,80.77,49.42,78.17,Midwest
South Dakota,2014,South Dakota2014,Male,Pancreas,73,15.59,77,16.5,1.06,427747,12.22,2.79,2.56,6.42,18.81,31.73,27.82,19.27,15.57,60.62,124.25,65.6,4.38,21.51,11.08,12.37,10.1,46219,24.84,18.05,0.72,14.04,0.6,0.05,2.63,80.77,49.42,78.17,Midwest
South Dakota,2015,South Dakota2015,Female,Colon and Rectum,186,34.91,84,13.74,0.39,424080,13.01,3.11,2.72,6.17,18.14,31.85,26.76,17.57,14.83,58.58,128.41,65.44,4.0,21.12,11.08,12.21,10.17,47572,24.94,18.28,0.73,14.02,0.63,0.05,2.8,80.6,49.48,78.17,Midwest
South Dakota,2015,South Dakota2015,Female,Lung and Bronchus,294,54.33,194,35.4,0.65,424080,13.01,3.11,2.72,6.17,18.14,31.85,26.76,17.57,14.83,58.58,128.41,65.44,4.0,21.12,11.08,12.21,10.17,47572,24.94,18.28,0.73,14.02,0.63,0.05,2.8,80.6,49.48,78.17,Midwest
South Dakota,2015,South Dakota2015,Female,Pancreas,67,11.65,56,9.39,0.81,424080,13.01,3.11,2.72,6.17,18.14,31.85,26.76,17.57,14.83,58.58,128.41,65.44,4.0,21.12,11.08,12.21,10.17,47572,24.94,18.28,0.73,14.02,0.63,0.05,2.8,80.6,49.48,78.17,Midwest
South Dakota,2015,South Dakota2015,Male,Colon and Rectum,220,47.2,85,18.31,0.39,430583,13.01,3.11,2.72,6.17,18.14,31.85,26.76,17.57,14.83,58.58,128.41,65.44,4.0,21.12,11.08,12.21,10.17,47572,24.94,18.28,0.73,14.02,0.63,0.05,2.8,80.6,49.48,78.17,Midwest
South Dakota,2015,South Dakota2015,Male,Lung and Bronchus,309,64.74,233,48.93,0.76,430583,13.01,3.11,2.72,6.17,18.14,31.85,26.76,17.57,14.83,58.58,128.41,65.44,4.0,21.12,11.08,12.21,10.17,47572,24.94,18.28,0.73,14.02,0.63,0.05,2.8,80.6,49.48,78.17,Midwest
South Dakota,2015,South Dakota2015,Male,Pancreas,57,11.65,54,11.09,0.95,430583,13.01,3.11,2.72,6.17,18.14,31.85,26.76,17.57,14.83,58.58,128.41,65.44,4.0,21.12,11.08,12.21,10.17,47572,24.94,18.28,0.73,14.02,0.63,0.05,2.8,80.6,49.48,78.17,Midwest
South Dakota,2016,South Dakota2016,Female,Colon and Rectum,199,37.8,72,12.23,0.32,428212,13.18,3.24,2.84,6.12,17.73,31.71,23.71,17.48,13.94,55.56,128.48,65.35,3.65,20.45,7.62,12.23,10.33,49071,24.91,18.64,0.73,14.03,0.71,0.06,2.92,80.37,49.48,78.17,Midwest
South Dakota,2016,South Dakota2016,Female,Lung and Bronchus,326,57.7,185,32.24,0.56,428212,13.18,3.24,2.84,6.12,17.73,31.71,23.71,17.48,13.94,55.56,128.48,65.35,3.65,20.45,7.62,12.23,10.33,49071,24.91,18.64,0.73,14.03,0.71,0.06,2.92,80.37,49.48,78.17,Midwest
South Dakota,2016,South Dakota2016,Female,Pancreas,73,13.05,65,11.34,0.87,428212,13.18,3.24,2.84,6.12,17.73,31.71,23.71,17.48,13.94,55.56,128.48,65.35,3.65,20.45,7.62,12.23,10.33,49071,24.91,18.64,0.73,14.03,0.71,0.06,2.92,80.37,49.48,78.17,Midwest
South Dakota,2016,South Dakota2016,Male,Colon and Rectum,221,46.04,91,19.41,0.42,435481,13.18,3.24,2.84,6.12,17.73,31.71,23.71,17.48,13.94,55.56,128.48,65.35,3.65,20.45,7.62,12.23,10.33,49071,24.91,18.64,0.73,14.03,0.71,0.06,2.92,80.37,49.48,78.17,Midwest
South Dakota,2016,South Dakota2016,Male,Lung and Bronchus,320,65.72,235,49.05,0.75,435481,13.18,3.24,2.84,6.12,17.73,31.71,23.71,17.48,13.94,55.56,128.48,65.35,3.65,20.45,7.62,12.23,10.33,49071,24.91,18.64,0.73,14.03,0.71,0.06,2.92,80.37,49.48,78.17,Midwest
South Dakota,2016,South Dakota2016,Male,Pancreas,81,15.98,62,12.54,0.78,435481,13.18,3.24,2.84,6.12,17.73,31.71,23.71,17.48,13.94,55.56,128.48,65.35,3.65,20.45,7.62,12.23,10.33,49071,24.91,18.64,0.73,14.03,0.71,0.06,2.92,80.37,49.48,78.17,Midwest
South Dakota,2017,South Dakota2017,Female,Colon and Rectum,197,34.89,75,12.14,0.35,432891,13.8,3.35,3.05,6.21,17.43,32.11,24.01,18.28,13.52,58.88,133.43,65.35,3.27,19.98,7.62,12.06,10.54,49095,25.02,18.89,0.79,14.25,0.75,0.05,3.06,79.93,49.37,78.15,Midwest
South Dakota,2017,South Dakota2017,Female,Lung and Bronchus,305,54.76,202,34.95,0.64,432891,13.8,3.35,3.05,6.21,17.43,32.11,24.01,18.28,13.52,58.88,133.43,65.35,3.27,19.98,7.62,12.06,10.54,49095,25.02,18.89,0.79,14.25,0.75,0.05,3.06,79.93,49.37,78.15,Midwest
South Dakota,2017,South Dakota2017,Female,Pancreas,60,10.65,69,11.51,1.08,432891,13.8,3.35,3.05,6.21,17.43,32.11,24.01,18.28,13.52,58.88,133.43,65.35,3.27,19.98,7.62,12.06,10.54,49095,25.02,18.89,0.79,14.25,0.75,0.05,3.06,79.93,49.37,78.15,Midwest
South Dakota,2017,South Dakota2017,Male,Colon and Rectum,231,46.83,86,17.11,0.37,440841,13.8,3.35,3.05,6.21,17.43,32.11,24.01,18.28,13.52,58.88,133.43,65.35,3.27,19.98,7.62,12.06,10.54,49095,25.02,18.89,0.79,14.25,0.75,0.05,3.06,79.93,49.37,78.15,Midwest
South Dakota,2017,South Dakota2017,Male,Lung and Bronchus,316,63.35,220,44.03,0.7,440841,13.8,3.35,3.05,6.21,17.43,32.11,24.01,18.28,13.52,58.88,133.43,65.35,3.27,19.98,7.62,12.06,10.54,49095,25.02,18.89,0.79,14.25,0.75,0.05,3.06,79.93,49.37,78.15,Midwest
South Dakota,2017,South Dakota2017,Male,Pancreas,81,14.96,55,11.35,0.76,440841,13.8,3.35,3.05,6.21,17.43,32.11,24.01,18.28,13.52,58.88,133.43,65.35,3.27,19.98,7.62,12.06,10.54,49095,25.02,18.89,0.79,14.25,0.75,0.05,3.06,79.93,49.37,78.15,Midwest
South Dakota,2018,South Dakota2018,Female,Colon and Rectum,189,33.65,75,12.33,0.37,435837,13.8,3.35,3.05,6.17,17.43,32.79,22.01,18.28,12.03,56.28,135.86,46.48,3.88,21.08,5.89,12.08,10.39,50095,25.15,19.15,0.78,14.33,0.77,0.06,3.13,79.76,49.35,78.15,Midwest
South Dakota,2018,South Dakota2018,Female,Lung and Bronchus,295,50.14,183,31.21,0.62,435837,13.8,3.35,3.05,6.17,17.43,32.79,22.01,18.28,12.03,56.28,135.86,46.48,3.88,21.08,5.89,12.08,10.39,50095,25.15,19.15,0.78,14.33,0.77,0.06,3.13,79.76,49.35,78.15,Midwest
South Dakota,2018,South Dakota2018,Female,Pancreas,79,13.58,56,9.16,0.67,435837,13.8,3.35,3.05,6.17,17.43,32.79,22.01,18.28,12.03,56.28,135.86,46.48,3.88,21.08,5.89,12.08,10.39,50095,25.15,19.15,0.78,14.33,0.77,0.06,3.13,79.76,49.35,78.15,Midwest
